日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-07-01,3050,3090,3070,3080,3120,3100,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2760,2800,2780,3210,3260,3240,3210,3250,3230
2019-07-02,3050,3090,3070,3080,3120,3100,2710,2750,2730,2710,2750,2730,2710,2750,2730,2680,2720,2700,2680,2720,2700,3140,3190,3170,3140,3180,3160
2019-07-03,3050,3090,3070,3080,3120,3100,2710,2750,2730,2710,2750,2730,2680,2720,2700,2680,2720,2700,2680,2720,2700,3140,3190,3170,3140,3180,3160
2019-07-04,3050,3090,3070,3080,3120,3100,2710,2750,2730,2710,2750,2730,2680,2720,2700,2680,2720,2700,2680,2720,2700,3140,3190,3170,3140,3180,3160
2019-07-05,3050,3090,3070,3080,3120,3100,2710,2750,2730,2710,2750,2730,2680,2720,2700,2680,2720,2700,2680,2720,2700,3140,3190,3170,3140,3180,3160
2019-07-08,3050,3090,3070,3080,3120,3100,2710,2750,2730,2710,2750,2730,2680,2720,2700,2680,2720,2700,2680,2720,2700,3140,3190,3170,3140,3180,3160
2019-07-09,3050,3090,3070,3080,3120,3100,2710,2750,2730,2710,2750,2730,2680,2720,2700,2680,2720,2700,2680,2720,2700,3140,3190,3170,3140,3180,3160
2019-07-10,3050,3090,3070,3080,3120,3100,2660,2700,2680,2660,2700,2680,2630,2670,2650,2630,2670,2650,2630,2670,2650,3100,3140,3120,3090,3130,3110
2019-07-11,3050,3090,3070,3080,3120,3100,2660,2700,2680,2660,2700,2680,2630,2670,2650,2630,2670,2650,2630,2670,2650,3100,3140,3120,3090,3130,3110
2019-07-12,3050,3090,3070,3080,3120,3100,2630,2670,2650,2630,2670,2650,2600,2640,2620,2580,2620,2600,2580,2620,2600,3050,3090,3070,3040,3080,3060
2019-07-15,3050,3090,3070,3080,3120,3100,2630,2670,2650,2630,2670,2650,2600,2640,2620,2580,2620,2600,2580,2620,2600,3050,3090,3070,3040,3080,3060
2019-07-16,3050,3090,3070,3080,3120,3100,2580,2620,2600,2580,2620,2600,2560,2600,2580,2580,2620,2600,2580,2620,2600,3000,3040,3020,2990,3030,3020
2019-07-17,3050,3090,3070,3080,3120,3100,2580,2620,2600,2580,2620,2600,2560,2600,2580,2530,2570,2550,2530,2570,2550,3000,3040,3020,2990,3030,3020
2019-07-18,3050,3090,3070,3080,3120,3100,2580,2620,2600,2580,2620,2600,2560,2600,2580,2530,2570,2550,2530,2570,2550,3000,3040,3020,2990,3030,3020
均价,,,3070.0,,,3100.0,,,2688.6,,,2688.6,,,2665.0,,,2655.7,,,2655.7,,,3121.4,,,3113.6
