日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2021-03-01,2450,2490,2470,2450,2490,2470,2320,2360,2340,2330,2350,2340,2320,2360,2340,2350,2390,2370,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-02,2450,2490,2470,2450,2490,2470,2320,2360,2340,2330,2350,2340,2320,2360,2340,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-03,2450,2490,2470,2450,2490,2470,2320,2360,2340,2330,2350,2340,2320,2360,2340,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-04,2450,2490,2470,2450,2490,2470,2320,2360,2340,2330,2350,2340,2320,2360,2340,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-05,2450,2490,2470,2450,2490,2470,2320,2360,2340,2330,2350,2340,2320,2360,2340,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-08,2450,2490,2470,2450,2490,2470,2310,2350,2330,2320,2340,2330,2320,2350,2335,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-09,2450,2490,2470,2450,2490,2470,2310,2350,2330,2320,2340,2330,2320,2350,2335,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-10,2450,2490,2470,2450,2490,2470,2310,2350,2330,2320,2340,2330,2320,2350,2335,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-03-11,2450,2490,2470,2450,2490,2470,2310,2350,2330,2320,2340,2330,2320,2350,2335,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
均价,,,2470.0,,,2470.0,,,2335.6,,,2335.6,,,2337.8,,,2352.2,,,2350.0,,,2820.0,,,2590.0
