日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-01-02,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-03,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-04,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-07,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-08,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-09,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-10,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-11,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-14,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-15,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-16,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-17,2930,3030,2980,2930,3030,2980,2830,2870,2850,2880,2920,2900,2830,2870,2850,2930,2970,2950,2930,2970,2950,3120,3160,3140,3010,3050,3030
2019-01-18,2930,3030,2980,2930,3030,2980,2780,2820,2800,2880,2920,2900,2780,2820,2800,2930,2970,2950,2930,2970,2950,3070,3110,3090,2960,3000,2980
2019-01-21,2930,3030,2980,2930,3030,2980,2780,2820,2800,2880,2920,2900,2780,2820,2800,2830,2870,2850,2830,2870,2850,3070,3110,3090,2960,3000,2980
均价,,,2980.0,,,2980.0,,,2842.9,,,2900.0,,,2842.9,,,2942.9,,,2942.9,,,3132.9,,,3022.9
