日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-12-02,2580,2620,2600,2580,2620,2600,2500,2540,2520,2500,2560,2530,2480,2540,2510,2440,2500,2470,2440,2500,2470,2920,2960,2940,2760,2800,2780
2019-12-03,2580,2620,2600,2520,2560,2540,2500,2540,2520,2500,2560,2530,2480,2540,2510,2440,2500,2470,2440,2500,2470,2920,2960,2940,2760,2800,2780
2019-12-04,2480,2520,2500,2460,2540,2500,2460,2500,2480,2460,2500,2480,2440,2480,2460,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-05,2480,2520,2500,2460,2540,2500,2460,2500,2480,2460,2500,2480,2440,2480,2460,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-06,2480,2520,2500,2460,2540,2500,2460,2500,2480,2460,2500,2480,2440,2480,2460,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-09,2480,2520,2500,2460,2540,2500,2460,2500,2480,2460,2500,2480,2440,2480,2460,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-10,2480,2520,2500,2460,2540,2500,2460,2500,2480,2460,2500,2480,2440,2480,2460,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-11,2480,2520,2500,2460,2540,2500,2460,2500,2480,2440,2480,2460,2440,2480,2460,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-12,2480,2520,2500,2460,2540,2500,2460,2500,2480,2440,2480,2460,2420,2460,2440,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-13,2480,2520,2500,2460,2540,2500,2460,2500,2480,2440,2480,2460,2420,2460,2440,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
2019-12-16,2480,2520,2500,2460,2540,2500,2460,2500,2480,2420,2460,2440,2420,2460,2440,2340,2400,2370,2380,2420,2400,2820,2860,2840,2660,2700,2680
均价,,,2518.2,,,2512.7,,,2487.3,,,2480.0,,,2463.6,,,2388.2,,,2412.7,,,2858.2,,,2698.2
