日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-04-01,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2680,2720,2700,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-02,2930,3030,2980,2930,3030,2980,2680,2720,2700,2660,2700,2680,2660,2700,2680,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-03,2930,3030,2980,2930,3030,2980,2680,2720,2700,2660,2700,2680,2660,2700,2680,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-04,3350,3390,3370,3350,3390,3370,2680,2720,2700,2660,2700,2680,2660,2700,2680,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-08,3350,3390,3370,3350,3390,3370,2680,2720,2700,2660,2700,2680,2660,2700,2680,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-09,3350,3390,3370,3350,3390,3370,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-10,3300,3340,3320,3300,3340,3320,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-11,3300,3340,3320,3300,3340,3320,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-12,3300,3340,3320,3200,3240,3220,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-15,3300,3340,3320,3200,3240,3220,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-16,3300,3340,3320,3200,3240,3220,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-17,3300,3340,3320,3200,3240,3220,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-18,3300,3340,3320,3200,3240,3220,2680,2720,2700,2660,2700,2680,2600,2660,2630,2630,2670,2650,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-04-19,3300,3340,3320,3000,3040,3020,2680,2720,2700,2680,2720,2700,2660,2700,2680,2680,2720,2700,2680,2720,2700,3080,3120,3100,2980,3020,3000
2019-04-22,3300,3340,3320,3000,3040,3020,2680,2720,2700,2680,2720,2700,2660,2700,2680,2680,2720,2700,2680,2720,2700,3080,3120,3100,2980,3020,3000
2019-04-23,3000,3040,3020,3000,3040,3020,2700,2740,2720,2700,2740,2720,2660,2700,2680,2680,2720,2700,2680,2720,2700,3080,3120,3100,2980,3020,3000
2019-04-24,3000,3040,3020,3000,3040,3020,2700,2740,2720,2700,2740,2720,2660,2700,2680,2680,2720,2700,2680,2720,2700,3080,3120,3100,2980,3020,3000
2019-04-25,3000,3040,3020,3000,3040,3020,2700,2740,2720,2720,2760,2740,2710,2750,2730,2680,2720,2700,2680,2720,2700,3080,3120,3100,2980,3020,3000
2019-04-26,3000,3040,3020,3000,3040,3020,2720,2760,2740,2720,2760,2740,2720,2760,2740,2690,2730,2710,2690,2730,2710,3080,3120,3100,2980,3020,3000
2019-04-28,3000,3040,3020,3000,3040,3020,2720,2760,2740,2720,2760,2740,2720,2760,2740,2690,2730,2710,2690,2730,2710,3080,3120,3100,2980,3020,3000
2019-04-29,3000,3040,3020,3000,3040,3020,2740,2780,2760,2740,2780,2760,2760,2800,2780,2690,2730,2710,2690,2730,2710,3120,3160,3140,3020,3060,3040
均价,,,3192.9,,,3140.5,,,2711.9,,,2699.0,,,2676.2,,,2672.9,,,2701.4,,,3083.3,,,2977.1
