日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-07-01,3050,3090,3070,3080,3120,3100,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2760,2800,2780,3210,3260,3240,3210,3250,3230
均价,,,3070.0,,,3100.0,,,2800.0,,,2800.0,,,2800.0,,,2780.0,,,2780.0,,,3240.0,,,3230.0
